Ticker,Total Shares Outstanding,Institutional Ownership %,Total Holdings Value
CAT,461,81.27%,"$326,654"
HAL,835,98.98%,"$34,978"
GOOGL,"5,824",88.47%,"$2,003,932"
MRK,"2,470",90.26%,"$251,905"
BG,194,103.72%,"$24,138"
DAL,657,100.26%,"$48,822"
UBER,"2,036",92.90%,"$141,069"
AAP,60,135.09%,"$4,176"
CAH,234,101.28%,"$47,256"
MSI,166,101.06%,"$66,419"
MSFT,"7,428",83.06%,"$2,597,882"
TGT,454,98.61%,"$54,788"
INFY,"4,056",11.41%,"$5,907"
GGB,"1,268",24.53%,"$1,459"
HSY,148,135.19%,"$38,243"
HD,996,84.61%,"$261,739"
PHG,963,24.27%,"$6,248"
IBN,"3,585",16.75%,"$15,415"
FCX,"1,438",95.07%,"$83,187"
AEG,"1,573",8.29%,"$1,118"
AZN,"1,551",48.63%,"$141,374"
WFC,"3,060",87.12%,"$202,114"
BKR,992,107.07%,"$70,946"
MCD,711,85.83%,"$170,919"
GSK,"2,027",18.61%,"$19,152"
LMT,231,84.88%,"$102,271"
TM,"1,579",1.60%,"$4,813"
EBAY,444,106.10%,"$56,041"
FSLR,107,102.21%,"$26,123"
IBM,940,74.68%,"$157,920"
CL,800,96.49%,"$69,763"
VOD,"2,303",8.50%,"$2,983"
PANW,816,87.36%,"$175,825"
JD,"2,497",7.20%,"$5,836"
PSX,401,92.43%,"$66,460"
LLY,942,92.74%,"$889,818"
BIOX,63,15.44%,$4
SDA,56,0.57%,$0
PFE,"5,699",76.69%,"$112,729"
SAN,"14,689",3.41%,"$6,197"
AMZN,"10,757",73.75%,"$2,102,506"
UNP,594,99.51%,"$157,041"
SONY,"6,150",7.60%,"$10,663"
PAGS,157,79.23%,"$1,160"
GLW,861,83.89%,"$130,458"
BIDU,"2,198",2.54%,"$7,548"
CCL,"1,383",76.35%,"$27,491"
RACE,177,36.91%,"$22,364"
ITUB,"5,409",22.72%,"$9,756"
PG,"2,329",80.56%,"$267,210"
NTES,644,8.97%,"$6,748"
AMGN,540,91.28%,"$163,350"
LRCX,"1,251",93.67%,"$342,159"
STNE,229,79.00%,"$2,001"
PBR,"3,721",20.02%,"$14,774"
CAR,35,149.57%,"$8,073"
UPST,96,68.90%,"$1,902"
TV,506,25.86%,$370
BB,586,49.37%,"$1,794"
LYG,"14,559",4.37%,"$3,453"
DE,270,81.32%,"$123,099"
LAR,164,33.32%,$520
HUT,113,84.55%,"$9,187"
MRNA,397,90.79%,"$17,336"
ADP,400,96.77%,"$85,368"
STLA,"2,897",39.71%,"$8,665"
IP,530,109.84%,"$17,960"
SE,546,70.35%,"$33,273"
MDLZ,"1,284",96.04%,"$76,237"
CVS,"1,276",97.90%,"$116,524"
SATL,132,61.81%,$796
SID,"1,326",3.14%,$52
ISRG,354,94.52%,"$150,322"
EQNR,"2,557",7.03%,"$7,007"
JMIA,245,15.23%,$258
GT,287,103.48%,"$1,660"
TS,536,7.34%,"$2,388"
PM,"1,559",92.52%,"$271,990"
SCHW,"1,739",91.61%,"$143,571"
SWKS,150,127.48%,"$14,255"
ARM,"1,061",8.18%,"$22,291"
DHR,708,91.30%,"$110,578"
ORLY,829,95.14%,"$72,711"
TJX,"1,107",101.87%,"$179,519"
BAK,173,4.56%,$38
LND,103,1.55%,$6
TIMB,478,4.79%,$517
VIV,"1,598",4.21%,$950
SUZ,"1,264",5.77%,$617
SBS,"3,525",10.51%,"$2,170"
BBAR,613,3.00%,$274
BMA,628,1.23%,$558
CEPU,"1,514",0.49%,$103
CRESY,632,2.06%,$141
EDN,443,0.53%,$57
GGAL,"1,343",2.23%,"$1,261"
IRS,773,1.75%,$186
LOMA,596,3.69%,$237
PAM,"1,364",0.36%,$391
SUPV,395,3.75%,$115
TEO,628,2.34%,$172
TGS,348,2.96%,$294
YPF,393,11.66%,"$2,159"
ASML,388,18.60%,"$111,891"
TEAM,160,107.52%,"$14,801"
AI,142,70.69%,$930
CLS,115,71.57%,"$28,509"
CEG,361,89.68%,"$91,104"
DECK,142,108.38%,"$15,113"
RGTI,332,63.92%,"$3,587"
PDD,"5,679",8.04%,"$44,784"
NOW,"1,031",95.85%,"$102,082"
TEM,175,66.31%,"$5,309"
PATH,456,81.13%,"$3,982"
VRTX,254,102.50%,"$111,975"
VST,337,96.06%,"$46,640"
XPEV,"1,566",7.67%,"$1,819"
ANF,45,115.26%,"$3,870"
B,"1,675",66.41%,"$45,549"
HOOD,791,84.13%,"$50,430"
CRWV,448,67.44%,"$30,571"
RKLB,579,59.45%,"$46,204"
ALAB,171,79.21%,"$39,031"
ASTS,299,60.33%,"$16,142"
IREN,357,46.17%,"$8,696"
ECL,281,89.29%,"$62,483"
CRWD,255,80.00%,"$132,375"
ANET,"1,259",79.14%,"$140,009"
O,932,93.55%,"$54,292"
GLNG,101,86.42%,"$4,856"
SNDK,148,90.25%,"$186,118"
NBIS,220,53.69%,"$22,700"
HIMS,220,79.10%,"$4,002"
ONDS,496,44.92%,"$2,085"
COP,"1,218",95.46%,"$142,299"
NEE,"2,085",95.76%,"$176,262"
MP,178,83.47%,"$8,396"
CCJ,435,66.55%,"$30,146"
FISV,533,99.53%,"$29,940"
